metric,galileo,newton
x_land (m),2383.9718364577557,1253.6233885442957
t_land (s),27.357245845314548,22.33124608953334
y_max (m),917.7477568335711,614.8855455418576
delta_x = x_newton - x_galileo (m),0.0,-1130.34844791346
