metric,galileo,newton
x_land (m),0.10193679918450561,0.06163661345957239
t_land (s),0.14416040391163049,0.12387758025752969
y_max (m),0.02548412877012649,0.018944965740225406
delta_x = x_newton - x_galileo (m),0.0,-0.04030018572493323
